pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,EURJPY,M1
0.3201,50.0,1.76,0.0,-1.22,1152.0,10,atr_break_386a6412,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,EURJPY,M1
0.1148,26.6,962.37,0.96,-962.37,844.4,4395,bb_bounce_4b9af643,EURJPY,M1
0.0302,11.26,1529.3,1.53,-1529.3,320.3,6987,bb_bounce_855c42e6,EURJPY,M1
0.0936,8.21,966.5,0.97,-966.5,405.5,4446,bb_bounce_87b909f7,EURJPY,M1
0.0927,13.69,611.82,0.61,-611.82,425.7,2790,bb_bounce_ba35fab5,EURJPY,M1
0.0012,1.03,1646.05,1.65,-1646.05,541.4,7576,bb_bounce_c1934f40,EURJPY,M1
0.0269,15.52,517.2,0.52,-517.2,448.6,2300,bb_break_591b1a3c,EURJPY,M1
0.021,9.76,1493.0,1.49,-1493.0,478.4,6718,bb_break_d3dc0be4,EURJPY,M1
0.0407,5.57,560.71,0.56,-560.63,267.9,2512,bb_break_eda60187,EURJPY,M1
0.0167,10.96,656.23,0.66,-656.23,605.4,2956,donchian_break_88941f39,EURJPY,M1
0.0011,0.86,839.2,0.84,-839.2,554.6,3839,donchian_break_c367b371,EURJPY,M1
0.0242,14.42,704.41,0.7,-704.41,623.6,3204,donchian_break_c3e2df3a,EURJPY,M1
0.1655,22.13,226.34,0.23,-226.13,1164.6,985,donchian_break_c808e1f8,EURJPY,M1
0.2428,26.52,322.95,0.32,-322.75,1528.2,1463,donchian_break_ff63572a,EURJPY,M1
0.1084,28.0,774.27,0.77,-774.27,771.6,3514,ema_cross_05fb5502,EURJPY,M1
